คำที่เขียนถูก	มักเขียนผิดเป็น	หมายเหตุ
สังวาล	สังวาลย์	ยกเว้นชื่อเฉพาะ "สังวาลย์"
สังสรรค์	สังสรร	
สัญชาตญาณ	สัญชาติญาณ	สัญชาต = ที่เกิดเอง; สัญชาติ = ความเป็นพลเมืองของประเทศ
สัญลักษณ์	สัญลักษ์, สัญญลักษณ์	
สัณฐาน	สันฐาน, สันฐาณ, สัณฐาณ	รูปพรรณสัณฐาน
สันโดษ	สัญโดษ	
สันนิษฐาน	สันนิฐาน, สันนิษฐาณ, สันนิฐาณ	
สับปลับ	สัปลับ	
สับปะรด	สัปรด, สัปปะรด, สับปะรส	มิได้แผลงมาจาก สรรพรส
สัปเหร่อ	สัพเหร่อ, สัปปะเหร่อ	
สัพยอก	สรรพยอก	
สัมภาษณ์	สัมภาษ, สัมภาสน์	
สัมมนา	สัมนา, สำมะนา	
สาทร	สาธร	ชื่อถนนสายหนึ่ง และเขตการปกครองในกรุงเทพมหานคร
สาธารณชน	สาธารณะชน	คำสมาส ระวังการใช้ในบริบท สาธารณะ-ชน
สาธารณประโยชน์	สาธารณะประโยชน์	คำสมาส
สาธารณสถาน	สาธารณะสถาน	คำสมาส
สาธารณสมบัติ	สาธารณะสมบัติ	คำสมาส
สาธารณสุข	สาธารณะสุข	คำสมาส
สาบสูญ	สาปสูญ	
สาบาน	สาบาญ	
สาปแช่ง	สาบแช่ง	
สาปสรร	สาบสรร	
สามเส้า	สามเศร้า	เส้า หมายถึง ไม้หลักหรือวัตถุที่ตั้งหรือปักเป็นสามมุมสำหรับรองรับ
สายสิญจน์	สายสิญจ์	
สารประโยชน์	สาระประโยชน์	คำสมาส
สารภี	สาระพี, สารพี	ชื่อไม้ต้นชนิดหนึ่ง ดอกสีขาวกลิ่นหอม, มิได้หมายถึง เครื่องครัว
สาระสำคัญ	สารสำคัญ	มิใช่คำสมาส
สารัตถประโยชน์	สารัตถะประโยชน์	คำสมาส
สารัตถะสำคัญ	สารัตถสำคัญ	มิใช่คำสมาส
สำอาง	สำอางค์	เครื่องสำอาง
สิงโต	สิงห์โต	หรือใช้เพียงคำว่า สิงห์
สิทธิ, สิทธิ์	สิทธ, สิทธ์	
สีสวาด	สีสวาท, สีสวาส	แมวสีสวาด
สีสัน	สีสรร, สีสรรค์	
สุกียากี้	สุกี้ยากี้	สามารถเรียกสั้น ๆ ว่า สุกี้
สุข	ศุข	ศุข พบบ้างในหนังสือเก่า
สุคติ	สุขติ, สุขคติ	
สุญญากาศ	สูญญากาศ	ใช้สระ "อุ"
สูจิบัตร	สูติบัตร	ใบแจ้งกำหนดการ
สูติบัตร	สูจิบัตร	เอกสารหลักฐานการเกิด
สุพรรณบัฏ	สุพรรณบัตร	สุพรรณบัตร พบบ้างในหนังสือเก่า
เสกสรร	เสกสรรค์	
เสบียง	สะเบียง, สเบียง	
เสพ	เสพย์	ปัจจุบันพจนานุกรมให้สะกดแบบเดียวเท่านั้น เช่น เสพสุรา เสพยา เสพเมถุน เสพสม เสพติด (สารเสพติด สิ่งเสพติด ยาเสพติด)
เสิร์ฟ	เสริฟ, เสริฟ์	มาจาก serve ไม่ใช่อักษรควบกล้ำ
เสลด	สเลด	อ่านว่า "สะ-เหฺลด" มาจากสันสกฤษ "เศฺลษฺม" ตรงกับบาลีว่า "เสมห" แปลว่า phlegm
เสื้อกาวน์	เสื้อกาว, เสื้อกาวด์	มาจาก gown
เสื้อเชิ้ต	เสื้อเชิ๊ต	
แสตมป์	สแตมป์	คำที่ปรากฏในพจนานุกรมไทย
โสฬส	โสรส	อ่านว่า "โส-ลด"
ไส้	ใส้	
หกคะเมน	หกคเมน, หกคะเมร	
หงส์	หงษ์	
หน็อยแน่	หนอยแน่	
หนาแน่น	แน่นหนา	- "หนาแน่น" ว่า คับคั่ง, แออัด, เช่น กรุงเทพฯ มีประชากรหนาแน่นมาก.
- "แน่นหนา" ว่า มั่นคง เช่น ใส่กุญแจแน่นหนา มีหลักฐานมัดตัวแน่นหนา, แข็งแรง เช่น ประตูหน้าต่างแน่นหนา, บางทีก็ใช้เข้าคู่กับ ปึกแผ่น เป็น เป็นปึกแผ่นแน่นหนา.
หน้าปัดนาฬิกา	หน้าปัทม์นาฬิกา	
หม้อห้อม, ม่อห้อม, ม่อฮ่อม	หม้อฮ่อม	
หมาใน	หมาไน	
หมามุ่ย, หมามุ้ย	หมาหมุ้ย	
หมูหย็อง	หมูหยอง	ของกินทำด้วยหมูเนื้อแดงปรุงรส ต้มเคี่ยวให้เปื่อยจนงวด นำไปผัดจนแห้ง ขยี้ให้เป็นฝอย, รวมถึงที่ทำจากวัตถุดิบอื่นด้วย เช่น ไก่หย็อง ฯลฯ (ใส่ไม้ไต่คู้เพราะออกเสียงสั้น)
หยากไย่, หยักไย่	หยากใย่, หยักใย่	
หย่าร้าง	อย่าร้าง	
หยิบหย่ง	หยิบย่ง, หยิบโย่ง	
ห่วงใย	ห่วงไย	คำที่ใช้ไม้ม้วน
หัวมังกุท้ายมังกร	หัวมงกุฎท้ายมังกร	(สำนวน) ไม่เข้ากัน ไม่กลมกลืนกัน (มังกุคือเรือที่มีกระดูกงูใหญ่)
หัวหน่าว	หัวเหน่า	
หิรัญบัฏ	หิรัญบัตร	หิรัญบัตร พบบ้างในหนังสือเก่า
หื่น	หึ่น	ออกเสียงยาว
เหม็นสาบ	เหม็นสาป	
เหล็กใน	เหล็กไน	ให้จำว่า เหล็กอยู่ข้างใน
เหลือบ่ากว่าแรง	เหนือบ่ากว่าแรง	(สำนวน) เกินความสามารถ
เหิน	เหิร	
แหลกลาญ	แหลกราญ, แหลกราน	
โหยหวน	โหยหวล	
โหระพา	โหรพา, โหระภา	
ใหลตาย	ไหลตาย	ใหล หมายถึงหลับใหล (ดู ราชบัณฑิตยสถาน)
ไหม	มั๊ย, ไม๊	อักษรต่ำเติมไม้ตรีไม่ได้ อาจอนุโลมใช้ มั้ย ตามเสียงพูด แผลงมาจาก "หรือไม่"
ไหหลำ	ใหหลำ	ทับศัพท์จากภาษาจีน
อื่น ๆ	อื่นๆ	
พระองค์	พระองศ์	
องคชาต	องคชาติ	
องคุลิมาล	องคุลีมาล, องคุลีมาร, องคุลิมาร	องคุลี (นิ้วมือ) + มาล (สร้อยคอ, สาย หรือ แถว) = องคุลิมาล (สร้อยคอที่ทำจากนิ้วมือ) โดยที่ ลี ใน องคุลี ลดเป็น ลิ เสียงสั้นตามหลักการสมาส
อธิษฐาน, อธิฏฐาน	อธิฐาน, อธิฐาณ, อธิษฐาณ	
อนาถ	อนาจ	
อนาทร	อนาธร	
อนุกาชาด	อนุกาชาติ	
อนุญาต	อนุญาติ	ญาติ เขียนมีสระ อิ
อนุมัติ	อนุมัต	
อนุรักษนิยม	อนุรักษ์นิยม	คำสมาส
อนุสาวรีย์	อนุเสาวรีย์, อณุสาวรีย์	
อเนก	เอนก	มาจาก อน+เอก ตัวอย่างเช่น อเนกประสงค์ อเนกประการ อเนกอนันต์ เว้นแต่วิสามานยนามเช่น เอนก เหล่าธรรมทัศน์ เอนก นาวิกมูล
อเนจอนาถ	อเนถอนาถ	
อภิรมย์	อภิรมณ์	
อภิเษก	อภิเสก	
อมต, อมตะ	อัมตะ, อำมตะ	
อมรินทร์	อัมรินทร์	ยกเว้นชื่อเฉพาะ "อัมรินทร์"
อมฤต, อำมฤต	อัมฤต	
อริยเมตไตรย	อริยเมตตรัย, อริยเมตไตร	
อริยสัจ	อริยสัจจ์	
อลักเอลื่อ	อะหลักอะเหลื่อ	
อลังการ	อลังการ์	อ่านว่า อะ-ลัง-กาน
อวสาน	อวสาณ, อวสานต์	
อสงไขย	อสงขัย	
อหังการ์	อหังการ	อ่านว่า อะ-หัง-กา
อหิวาตกโรค	อะหิวาตกโรค	
ออกหาก	ออกห่าง	ออกหาก = อาการที่ทำห่างเหินไม่ร่วมมือร่วมใจเหมือนเดิม
ออฟฟิศ	อ็อฟฟิศ, อ็อฟฟิซ, ออฟฟิซ, ออฟฟิส, อ็อฟฟิส, ออฟฟิต, อ็อฟฟิต	คำที่ปรากฏในพจนานุกรมไทย หรือใช้คำว่า สำนักงาน, ที่ทำการ
อะลุ่มอล่วย, อะลุ้มอล่วย	อะลุ่มอะล่วย, อลุ่มอล่วย	
อะฟลาทอกซิน	อัลฟาทอกซิน	ทับศัพท์จาก aflatoxin
อะไหล่	อะหลั่ย, อาไฟล่, อาหลั่ย	
อักขรวิธี	อักขระวิธี	สมาสแล้วตัดสระอะ
อักษร	อักศร, อักสร	
อัญชัน	อัญชัญ	
อัญมณี	อัญมนี, อัญญมณี	
อัฒจันทร์	อัธจันทร์	
อัตคัด	อัตคัต	
อัตนัย	อัตตะนัย	"อัตนัย" ตรงกับภาษาอังกฤษว่า "subjective" บางทีใช้ "อัตวิสัย" หรือ "จิตวิสัย" หมายความว่า "ที่มีอยู่ในจิต, ที่เกี่ยวกับจิต; ที่จิตคิดขึ้นเองโดยไม่อาศัยวัตถุภายนอก"
อัธยาศัย	อัทยาศัย, อัธยาษัย	
อัมพาต	อัมพาส	
อัลบั้ม	อัลบัม	
อากาศ	อากาส	
อาฆาตมาดร้าย	อาฆาตมาตร้าย	
อาเจียน	อาเจียร	
อานิสงส์	อานิสงฆ์	
อาเพศ	อาเพส, อาเภส	
อายัด	อายัติ, อายัต	
อารมณ์	อารมย์	
อาวรณ์	อาวร	
อาสน์สงฆ์	อาสสงฆ์	
อำนาจบาตรใหญ่	อำนาจบาทใหญ่	
อำมหิต	อัมหิต	
อินทรธนู	อินธนู, อินทร์ธนู	
อินทรี	 อินทรีย์ 
นกอินทรี  	 นกอินทรีย์
ปลาอินทรี  	ปลาอินทรีย์
อินทรียวัตถุ	อินทรีวัตถุ, อินทรีย์วัตถุ	
อินฟราเรด	อินฟาเรด, อินฟาร์เรด	ทับศัพท์จาก infrared
อิริยาบถ	อิริยาบท	
อิสรภาพ	อิสระภาพ	คำสมาส
อิสรเสรี	อิสระเสรี	คำสมาส
อีเมล	อีเมล์	ทับศัพท์จาก e-mail
อีสาน	อิสาน, อิสาณ, อีสาณ	
อุกกาบาต	อุกาบาต	
อุกฤษฏ์	อุกฤติ	
อุดมการณ์	อุดมการ	
อุทธรณ์	อุธรณ์	
อุทาหรณ์	อุธาหรณ์, อุทาหร	
อุบาทว์	อุบาท	
อุปการคุณ	อุปการะคุณ	คำสมาส
อุปถัมภ์	อุปถัมธ์, อุปถัมน์	
อุปโลกน์	อุปโลก	
อุปัชฌาย์	อุปัชฌา, อุปัชชา	
อุปาทาน	อุปทาน	- อุปาทาน = การยึดมั่นถือมั่น, การนึกเอาเอง เช่น อุปาทานหมู่
- อุปทาน (เศรษฐศาสตร์) = สินค้าหรือบริการที่พร้อมจะขายในตลาดเพื่อตอบสนองความต้องการซื้อ
อุโมงค์	อุโมง	
อุสุภราช	อุศุภราช	แปลว่า พญาวัว (อุสุภ แปลว่า วัว) เป็นชื่อโคทรงของพระอิศวร ในสมัยที่ยังไม่มีพจนานุกรมของราชการเขียนคละกันไปทั้ง "อุสุภราช" และ "อุศุภราช" (เช่น "อุศุภราชเป็นโคนา ท่านใช้")
เอกเขนก	เอกขเนก	
เอกฉันท์	เอกฉัน, เอกะฉันท์	
เอ็นดอร์ฟิน	เอ็นโดรฟิน	ทับศัพท์จาก endorphine
เอาใจออกหาก	เอาใจออกห่าง	
โอกาส	โอกาศ	
ไอศกรีม	ไอศครีม, ไอติม	
ฮ่อยจ๊อ	หอยจ๊อ, ห้อยจ๊อ, ฮ่อยจ้อ, หอยจ้อ, ห้อยจ้อ	
เฮโลสาระพา, เฮละโลสาระพา	เฮโลโหระพา, เฮละโลโหระพา
